arth,ath,Arabidopsis thaliana
brna,bna,Brassica napus
brra,bra,Brassica rapa
cume,cme,Cucumis melo
cusa,csa,Cucumis sativus
glma,gma,Glycine max
hovu,hvu,Hordeum vulgare
jacu,jcu,Jatropha curcas
nita,nta,Nicotiana tabacum
orsa,osa,Oryza sativa
pavi,pvi,Panicum virgatum
sahy,shy,Saccharum hybrid cultivar
sasp,ssp,Saccharum spontaneum
soly,sly,Solanum lycopersicum
trae,tae,Triticum aestivum
trtu,ttu,Triticum turgidum
vivi,vvi,Vitis vinifera
ciju,cju,Citrus junus
citr,ctr,Citrus trifoliata
brdi,bdi,Brachypodium distachyon
daca,dac,Daucus carota
metr,mtr,Medicago truncatula
meru,mru,Medicago ruthenica
misi,mis,Miscanthus sinensis
pima,pma,Pinus massoniana
sein,ses,Sesamum indicum
viri,vir,Vitis riparia
zema,zma,Zea mays
